"@""a{1,3}b"""	"""bc"""	"RegexOptions.None"	"0"	"2"	"false"	"string.Empty"
"@""a{1,3}b"""	"""abc"""	"RegexOptions.None"	"0"	"3"	"true"	"""ab"""
"@""a{1,3}b"""	"""aaabc"""	"RegexOptions.None"	"0"	"5"	"true"	"""aaab"""
"@""a{1,3}b"""	"""aaaabc"""	"RegexOptions.None"	"0"	"6"	"true"	"""aaab"""
"@""a{2,}b"""	"""abc"""	"RegexOptions.None"	"0"	"3"	"false"	"string.Empty"
"@""a{2,}b"""	"""aabc"""	"RegexOptions.None"	"0"	"4"	"true"	"""aab"""
"@""a{,3}b"""	"""a{,3}bc"""	"RegexOptions.None"	"0"	"6"	"true"	"""a{,3}b"""
"@""a{,3}b"""	"""aaabc"""	"RegexOptions.None"	"0"	"5"	"false"	"string.Empty"
"@""([a-zA-Z]+)\s(\w+)"""	"""David Bau"""	"RegexOptions.None"	"0"	"9"	"true"	"""David Bau"""
"@""(\S+):\W(\d+)\s(\D+)"""	"""Price: 5 dollars"""	"RegexOptions.None"	"0"	"16"	"true"	"""Price: 5 dollars"""
"@""[^0-9]+(\d+)"""	"""Price: 30 dollars"""	"RegexOptions.None"	"0"	"17"	"true"	"""Price: 30"""
"@""abc(?!XXX)\w+"""	"""abcXXXdef"""	"RegexOptions.None"	"0"	"9"	"false"	"string.Empty"
"@""(\w){6}(?<=XXX)def"""	"""abcXXXdef"""	"RegexOptions.None"	"0"	"9"	"true"	"""abcXXXdef"""
"@""(\w){6}(?<!XXX)def"""	"""XXXabcdef"""	"RegexOptions.None"	"0"	"9"	"true"	"""XXXabcdef"""
"""[^0-9]+(?>[0-9]+)3"""	"""abc123"""	"RegexOptions.None"	"0"	"6"	"false"	"string.Empty"
"@""\Aaaa\w+zzz\Z"""	"""aaaasdfajsdlfjzzz"""	"RegexOptions.IgnoreCase"	"0"	"17"	"true"	"""aaaasdfajsdlfjzzz"""
"@""\Aaaaaa\w+zzz\Z"""	"""aaaa"""	"RegexOptions.IgnoreCase"	"0"	"4"	"false"	"string.Empty"
