"""abc"""	"""'abc'"""	""
""""""	"""%"""	""
"""abc|def"""	"""(| 'abc' 'def')"""	""
"""abc|def|ghi"""	"""(| 'abc' 'def' 'ghi')"""	""
"""^xxx$"""	"""(: @^i 'xxx' @$i)"""	""
"""ab\\b\\d\\bcd"""	"""(: 'ab' @b [0-9] @b 'cd')"""	""
"""\\w|\\d"""	"""(| [0-9 A-Z _ a-z] [0-9])"""	""
"""a*"""	"""(# 0 - g 'a')"""	""
"""a*?"""	"""(# 0 - n 'a')"""	""
"""abc+"""	"""(: 'ab' (# 1 - g 'c'))"""	""
"""abc+?"""	"""(: 'ab' (# 1 - n 'c'))"""	""
"""xyz?"""	"""(: 'xy' (# 0 1 g 'z'))"""	""
"""xyz??"""	"""(: 'xy' (# 0 1 n 'z'))"""	""
"""xyz{0,1}"""	"""(: 'xy' (# 0 1 g 'z'))"""	""
"""xyz{0,1}?"""	"""(: 'xy' (# 0 1 n 'z'))"""	""
"""xyz{93}"""	"""(: 'xy' (# 93 93 g 'z'))"""	""
"""xyz{93}?"""	"""(: 'xy' (# 93 93 n 'z'))"""	""
"""xyz{1,32}"""	"""(: 'xy' (# 1 32 g 'z'))"""	""
"""xyz{1,32}?"""	"""(: 'xy' (# 1 32 n 'z'))"""	""
"""xyz{1,}"""	"""(: 'xy' (# 1 - g 'z'))"""	""
"""xyz{1,}?"""	"""(: 'xy' (# 1 - n 'z'))"""	""
"""a\\fb\\nc\\rd\\te\\vf"""	"""'a\\x0cb\\x0ac\\x0dd\\x09e\\x0bf'"""	""
"""a\\nb\\bc"""	"""(: 'a\\x0ab' @b 'c')"""	""
"""(?:foo)"""	"""(?: 'foo')"""	""
"""(?: foo )"""	"""(?: ' foo ')"""	""
"""(foo|bar|baz)"""	"""(^ (| 'foo' 'bar' 'baz'))"""	""
"""foo|(bar|baz)|quux"""	"""(| 'foo' (^ (| 'bar' 'baz')) 'quux')"""	""
"""foo(?=bar)baz"""	"""(: 'foo' (-> + 'bar') 'baz')"""	""
"""foo(?!bar)baz"""	"""(: 'foo' (-> - 'bar') 'baz')"""	""
"""foo(?<=bar)baz"""	"""(: 'foo' (<- + 'bar') 'baz')"""	""
"""foo(?<!bar)baz"""	"""(: 'foo' (<- - 'bar') 'baz')"""	""
"""()"""	"""(^ %)"""	""
"""(?=)"""	"""(-> + %)"""	""
"""[]"""	"""^[\\x00-\\u{10ffff}]"""	""
"""[^]"""	"""[\\x00-\\u{10ffff}]"""	""
"""[x]"""	"""[x]"""	""
"""[xyz]"""	"""[x y z]"""	""
"""[a-zA-Z0-9]"""	"""[a-z A-Z 0-9]"""	""
"""[-123]"""	"""[- 1 2 3]"""	""
"""[^123]"""	"""^[1 2 3]"""	""
"""]"""	"""']'"""	""
"""}"""	"""'}'"""	""
"""[a-b-c]"""	"""[a-b - c]"""	""
"""[\\d]"""	"""[0-9]"""	""
"""[x\\dz]"""	"""[x 0-9 z]"""	""
"""[\\d-z]"""	"""[0-9 - z]"""	""
"""[\\d-\\d]"""	"""[0-9 0-9 -]"""	""
"""[z-\\d]"""	"""[0-9 z -]"""	""
"""\\cj\\cJ\\ci\\cI\\ck\\cK"""	"""'\\x0a\\x0a\\x09\\x09\\x0b\\x0b'"""	""
"""\\c!"""	"""'\\c!'"""	""
"""\\c_"""	"""'\\c_'"""	""
"""\\c~"""	"""'\\c~'"""	""
"""\\c1"""	"""'\\c1'"""	""
"""[\\c!]"""	"""[\\ c !]"""	""
"""[\\c_]"""	"""[\\x1f]"""	""
"""[\\c~]"""	"""[\\ c ~]"""	""
"""[\\ca]"""	"""[\\x01]"""	""
"""[\\cz]"""	"""[\\x1a]"""	""
"""[\\cA]"""	"""[\\x01]"""	""
"""[\\cZ]"""	"""[\\x1a]"""	""
"""[\\c1]"""	"""[\\x11]"""	""
"""[a\\]c]"""	"""[a ] c]"""	""
"""\\[\\]\\{\\}\\(\\)\\%\\^\\#\\ """	"""'[]{}()%^# '"""	""
"""[\\[\\]\\{\\}\\(\\)\\%\\^\\#\\ ]"""	"""[[ ] { } ( ) % ^ #  ]"""	""
"""\\0"""	"""'\\x00'"""	""
"""\\8"""	"""'8'"""	""
"""\\9"""	"""'9'"""	""
"""\\11"""	"""'\\x09'"""	""
"""\\11a"""	"""'\\x09a'"""	""
"""\\011"""	"""'\\x09'"""	""
"""\\00011"""	"""'\\x0011'"""	""
"""\\118"""	"""'\\x098'"""	""
"""\\111"""	"""'I'"""	""
"""\\1111"""	"""'I1'"""	""
"""(x)(x)(x)\\1"""	"""(: (^ 'x') (^ 'x') (^ 'x') (<- 1))"""	""
"""(x)(x)(x)\\2"""	"""(: (^ 'x') (^ 'x') (^ 'x') (<- 2))"""	""
"""(x)(x)(x)\\3"""	"""(: (^ 'x') (^ 'x') (^ 'x') (<- 3))"""	""
"""(x)(x)(x)\\4"""	"""(: (^ 'x') (^ 'x') (^ 'x') '\\x04')"""	""
"""(x)(x)(x)\\1*"""	"""(: (^ 'x') (^ 'x') (^ 'x')""
               "" (# 0 - g (<- 1)))"""	""
"""(x)(x)(x)\\2*"""	"""(: (^ 'x') (^ 'x') (^ 'x')""
               "" (# 0 - g (<- 2)))"""	""
"""(x)(x)(x)\\3*"""	"""(: (^ 'x') (^ 'x') (^ 'x')""
               "" (# 0 - g (<- 3)))"""	""
"""(x)(x)(x)\\4*"""	"""(: (^ 'x') (^ 'x') (^ 'x')""
               "" (# 0 - g '\\x04'))"""	""
"""(x)(x)(x)(x)(x)(x)(x)(x)(x)(x)\\10"""	"""(: (^ 'x') (^ 'x') (^ 'x') (^ 'x') (^ 'x') (^ 'x')""
               "" (^ 'x') (^ 'x') (^ 'x') (^ 'x') (<- 10))"""	""
"""(x)(x)(x)(x)(x)(x)(x)(x)(x)(x)\\11"""	"""(: (^ 'x') (^ 'x') (^ 'x') (^ 'x') (^ 'x') (^ 'x')""
               "" (^ 'x') (^ 'x') (^ 'x') (^ 'x') '\\x09')"""	""
"""(a)\\1"""	"""(: (^ 'a') (<- 1))"""	""
"""(a\\1)"""	"""(^ 'a')"""	""
"""(\\1a)"""	"""(^ 'a')"""	""
"""(\\2)(\\1)"""	"""(: (^ (<- 2)) (^ (<- 1)))"""	""
"""(?=a)?a"""	"""'a'"""	""
"""(?=a){0,10}a"""	"""'a'"""	""
"""(?=a){1,10}a"""	"""(: (-> + 'a') 'a')"""	""
"""(?=a){9,10}a"""	"""(: (-> + 'a') 'a')"""	""
"""(?!a)?a"""	"""'a'"""	""
"""\\1(a)"""	"""(: (<- 1) (^ 'a'))"""	""
"""(?!(a))\\1"""	"""(: (-> - (^ 'a')) (<- 1))"""	""
"""(?!\\1(a\\1)\\1)\\1"""	"""(: (-> - (: (<- 1) (^ 'a') (<- 1))) (<- 1))"""	""
"""\\1\\2(a(?:\\1(b\\1\\2))\\2)\\1"""	"""(: (<- 1) (<- 2) (^ (: 'a' (?: (^ 'b')) (<- 2))) (<- 1))"""	""
"""\\1\\2(a(?<=\\1(b\\1\\2))\\2)\\1"""	"""(: (<- 1) (<- 2) (^ (: 'a' (<- + (^ 'b')) (<- 2))) (<- 1))"""	""
"""[\\0]"""	"""[\\x00]"""	""
"""[\\11]"""	"""[\\x09]"""	""
"""[\\11a]"""	"""[\\x09 a]"""	""
"""[\\011]"""	"""[\\x09]"""	""
"""[\\00011]"""	"""[\\x00 1 1]"""	""
"""[\\118]"""	"""[\\x09 8]"""	""
"""[\\111]"""	"""[I]"""	""
"""[\\1111]"""	"""[I 1]"""	""
"""\\x34"""	"""'\x34'"""	""
"""\\x60"""	"""'\x60'"""	""
"""\\x3z"""	"""'x3z'"""	""
"""\\c"""	"""'\\c'"""	""
"""\\u0034"""	"""'\x34'"""	""
"""\\u003z"""	"""'u003z'"""	""
"""foo[z]*"""	"""(: 'foo' (# 0 - g [z]))"""	""
"""^^^$$$\\b\\b\\b\\b"""	"""(: @^i @^i @^i @$i @$i @$i @b @b @b @b)"""	""
