"""a"""	"""lit{a}"""	""
"""a."""	"""cat{lit{a}dot{}}"""	""
"""a.b"""	"""cat{lit{a}dot{}lit{b}}"""	""
"""ab"""	"""str{ab}"""	""
"""a.b.c"""	"""cat{lit{a}dot{}lit{b}dot{}lit{c}}"""	""
"""abc"""	"""str{abc}"""	""
"""a|^"""	"""alt{lit{a}bol{}}"""	""
"""a|b"""	"""cc{0x61-0x62}"""	""
"""(a)"""	"""cap{lit{a}}"""	""
"""(a)|b"""	"""alt{cap{lit{a}}lit{b}}"""	""
"""a*"""	"""star{lit{a}}"""	""
"""a+"""	"""plus{lit{a}}"""	""
"""a?"""	"""que{lit{a}}"""	""
"""a{2}"""	"""rep{2,2 lit{a}}"""	""
"""a{2,3}"""	"""rep{2,3 lit{a}}"""	""
"""a{2,}"""	"""rep{2,-1 lit{a}}"""	""
"""a*?"""	"""nstar{lit{a}}"""	""
"""a+?"""	"""nplus{lit{a}}"""	""
"""a??"""	"""nque{lit{a}}"""	""
"""a{2}?"""	"""nrep{2,2 lit{a}}"""	""
"""a{2,3}?"""	"""nrep{2,3 lit{a}}"""	""
"""a{2,}?"""	"""nrep{2,-1 lit{a}}"""	""
""""""	"""emp{}"""	""
"""|"""	"""alt{emp{}emp{}}"""	""
"""|x|"""	"""alt{emp{}lit{x}emp{}}"""	""
"""."""	"""dot{}"""	""
"""^"""	"""bol{}"""	""
"""$"""	"""eol{}"""	""
"""\\|"""	"""lit{|}"""	""
"""\\("""	"""lit{(}"""	""
"""\\)"""	"""lit{)}"""	""
"""\\*"""	"""lit{*}"""	""
"""\\+"""	"""lit{+}"""	""
"""\\?"""	"""lit{?}"""	""
"""{"""	"""lit{{}"""	""
"""}"""	"""lit{}}"""	""
"""\\."""	"""lit{.}"""	""
"""\\^"""	"""lit{^}"""	""
"""\\$"""	"""lit{$}"""	""
"""\\\\"""	"""lit{\\}"""	""
"""[ace]"""	"""cc{0x61 0x63 0x65}"""	""
"""[abc]"""	"""cc{0x61-0x63}"""	""
"""[a-z]"""	"""cc{0x61-0x7a}"""	""
"""[a]"""	"""lit{a}"""	""
"""\\-"""	"""lit{-}"""	""
"""-"""	"""lit{-}"""	""
"""\\_"""	"""lit{_}"""	""
"""[[:lower:]]"""	"""cc{0x61-0x7a}"""	""
"""[a-z]"""	"""cc{0x61-0x7a}"""	""
"""[^[:lower:]]"""	"""cc{0-0x60 0x7b-0x10ffff}"""	""
"""[[:^lower:]]"""	"""cc{0-0x60 0x7b-0x10ffff}"""	""
"""(?i)[[:lower:]]"""	"""cc{0x41-0x5a 0x61-0x7a 0x17f 0x212a}"""	""
"""(?i)[a-z]"""	"""cc{0x41-0x5a 0x61-0x7a 0x17f 0x212a}"""	""
"""(?i)[^[:lower:]]"""	"""cc{0-0x40 0x5b-0x60 0x7b-0x17e 0x180-0x2129 0x212b-0x10ffff}"""	""
"""(?i)[[:^lower:]]"""	"""cc{0-0x40 0x5b-0x60 0x7b-0x17e 0x180-0x2129 0x212b-0x10ffff}"""	""
"""\\d"""	"""cc{0x30-0x39}"""	""
"""\\D"""	"""cc{0-0x2f 0x3a-0x10ffff}"""	""
"""\\s"""	"""cc{0x9-0xa 0xc-0xd 0x20}"""	""
"""\\S"""	"""cc{0-0x8 0xb 0xe-0x1f 0x21-0x10ffff}"""	""
"""\\w"""	"""cc{0x30-0x39 0x41-0x5a 0x5f 0x61-0x7a}"""	""
"""\\W"""	"""cc{0-0x2f 0x3a-0x40 0x5b-0x5e 0x60 0x7b-0x10ffff}"""	""
"""(?i)\\w"""	"""cc{0x30-0x39 0x41-0x5a 0x5f 0x61-0x7a 0x17f 0x212a}"""	""
"""(?i)\\W"""	"""cc{0-0x2f 0x3a-0x40 0x5b-0x5e 0x60 0x7b-0x17e 0x180-0x2129 0x212b-0x10ffff}"""	""
"""[^\\\\]"""	"""cc{0-0x5b 0x5d-0x10ffff}"""	""
"""\\C"""	"""byte{}"""	""
"""\\p{Braille}"""	"""cc{0x2800-0x28ff}"""	""
"""\\P{Braille}"""	"""cc{0-0x27ff 0x2900-0x10ffff}"""	""
"""\\p{^Braille}"""	"""cc{0-0x27ff 0x2900-0x10ffff}"""	""
"""\\P{^Braille}"""	"""cc{0x2800-0x28ff}"""	""
"""a{,2}"""	"""str{a{,2}}"""	""
"""\\.\\^\\$\\\\"""	"""str{.^$\\}"""	""
"""[a-zABC]"""	"""cc{0x41-0x43 0x61-0x7a}"""	""
"""[^a]"""	"""cc{0-0x60 0x62-0x10ffff}"""	""
"""[\xce\xb1-\xce\xb5\xe2\x98\xba]"""	"""cc{0x3b1-0x3b5 0x263a}"""	""
"""a*{"""	"""cat{star{lit{a}}lit{{}}"""	""
"""(?:ab)*"""	"""star{str{ab}}"""	""
"""(ab)*"""	"""star{cap{str{ab}}}"""	""
"""ab|cd"""	"""alt{str{ab}str{cd}}"""	""
"""a(b|c)d"""	"""cat{lit{a}cap{cc{0x62-0x63}}lit{d}}"""	""
"""(?:(?:a)*)*"""	"""star{lit{a}}"""	""
"""(?:(?:a)+)+"""	"""plus{lit{a}}"""	""
"""(?:(?:a)?)?"""	"""que{lit{a}}"""	""
"""(?:(?:a)*)+"""	"""star{lit{a}}"""	""
"""(?:(?:a)*)?"""	"""star{lit{a}}"""	""
"""(?:(?:a)+)*"""	"""star{lit{a}}"""	""
"""(?:(?:a)+)?"""	"""star{lit{a}}"""	""
"""(?:(?:a)?)*"""	"""star{lit{a}}"""	""
"""(?:(?:a)?)+"""	"""star{lit{a}}"""	""
"""(?:a)"""	"""lit{a}"""	""
"""(?:ab)(?:cd)"""	"""str{abcd}"""	""
"""(?:a|b)|(?:c|d)"""	"""cc{0x61-0x64}"""	""
"""a|c"""	"""cc{0x61 0x63}"""	""
"""a|[cd]"""	"""cc{0x61 0x63-0x64}"""	""
"""a|."""	"""dot{}"""	""
"""[ab]|c"""	"""cc{0x61-0x63}"""	""
"""[ab]|[cd]"""	"""cc{0x61-0x64}"""	""
"""[ab]|."""	"""dot{}"""	""
""".|c"""	"""dot{}"""	""
""".|[cd]"""	"""dot{}"""	""
""".|."""	"""dot{}"""	""
"""\\Q+|*?{[\\E"""	"""str{+|*?{[}"""	""
"""\\Q+\\E+"""	"""plus{lit{+}}"""	""
"""\\Q\\\\E"""	"""lit{\\}"""	""
"""\\Q\\\\\\E"""	"""str{\\\\}"""	""
"""\\Qa\\E*"""	"""star{lit{a}}"""	""
"""\\Qab\\E*"""	"""cat{lit{a}star{lit{b}}}"""	""
"""\\Qabc\\E*"""	"""cat{str{ab}star{lit{c}}}"""	""
"""(?m)^"""	"""bol{}"""	""
"""(?m)$"""	"""eol{}"""	""
"""(?-m)^"""	"""bot{}"""	""
"""(?-m)$"""	"""eot{}"""	""
"""(?m)\\A"""	"""bot{}"""	""
"""(?m)\\z"""	"""eot{\\z}"""	""
"""(?-m)\\A"""	"""bot{}"""	""
"""(?-m)\\z"""	"""eot{\\z}"""	""
"""(?P<name>a)"""	"""cap{name:lit{a}}"""	""
"""[Aa]"""	"""litfold{a}"""	""
"""abcde"""	"""str{abcde}"""	""
"""[Aa][Bb]cd"""	"""cat{strfold{ab}str{cd}}"""	""
"""[^ ]"""	"""cc{0-0x9 0xb-0x1f 0x21-0x10ffff}"""	"TestZeroFlags"
"""[^ ]"""	"""cc{0-0x9 0xb-0x1f 0x21-0x10ffff}"""	"Regexp::FoldCase"
"""[^ ]"""	"""cc{0-0x9 0xb-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
"""[^ ]"""	"""cc{0-0x9 0xb-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL | Regexp::FoldCase"
"""[^ \f]"""	"""cc{0-0x9 0xb 0xd-0x1f 0x21-0x10ffff}"""	"TestZeroFlags"
"""[^ \f]"""	"""cc{0-0x9 0xb 0xd-0x1f 0x21-0x10ffff}"""	"Regexp::FoldCase"
"""[^ \f]"""	"""cc{0-0x9 0xb 0xd-0x1f 0x21-0x10ffff}"""	"Regexp::NeverNL"
