"""[abcd-[d]]+"""	"""dddaabbccddd"""	"RegexOptions.None"	"""aabbcc"""
"@""[\d-[357]]+"""	"""33312468955"""	"RegexOptions.None"	"""124689"""
"@""[\d-[357]]+"""	"""51246897"""	"RegexOptions.None"	"""124689"""
"@""[\d-[357]]+"""	"""3312468977"""	"RegexOptions.None"	"""124689"""
"@""[\w-[b-y]]+"""	"""bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\w-[\d]]+"""	"""0AZaz9"""	"RegexOptions.None"	"""AZaz"""
"@""[\w-[\p{Ll}]]+"""	"""a09AZz"""	"RegexOptions.None"	"""09AZ"""
"@""[\d-[13579]]+"""	"""1024689"""	"RegexOptions.ECMAScript"	"""02468"""
"@""[\d-[13579]]+"""	"""\x066102468\x0660"""	"RegexOptions.ECMAScript"	"""02468"""
"@""[\d-[13579]]+"""	"""\x066102468\x0660"""	"RegexOptions.None"	"""\x066102468\x0660"""
"@""[\w-[b-y]]+"""	"""bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\w-[b-y]]+"""	"""bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\w-[b-y]]+"""	"""bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\p{Ll}-[ae-z]]+"""	"""aaabbbcccdddeee"""	"RegexOptions.None"	"""bbbcccddd"""
"@""[\p{Nd}-[2468]]+"""	"""20135798"""	"RegexOptions.None"	"""013579"""
"@""[\P{Lu}-[ae-z]]+"""	"""aaabbbcccdddeee"""	"RegexOptions.None"	"""bbbcccddd"""
"@""[\P{Nd}-[\p{Ll}]]+"""	"""az09AZ'[]"""	"RegexOptions.None"	"""AZ'[]"""
"""[abcd-[def]]+"""	"""fedddaabbccddd"""	"RegexOptions.None"	"""aabbcc"""
"@""[\d-[357a-z]]+"""	"""az33312468955"""	"RegexOptions.None"	"""124689"""
"@""[\d-[de357fgA-Z]]+"""	"""AZ51246897"""	"RegexOptions.None"	"""124689"""
"@""[\d-[357\p{Ll}]]+"""	"""az3312468977"""	"RegexOptions.None"	"""124689"""
"@""[\w-[b-y\s]]+"""	""" \tbbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\w-[\d\p{Po}]]+"""	"""!#0AZaz9"""	"RegexOptions.None"	"""AZaz"""
"@""[\w-[\p{Ll}\s]]+"""	"""a09AZz"""	"RegexOptions.None"	"""09AZ"""
"@""[\d-[13579a-zA-Z]]+"""	"""AZ1024689"""	"RegexOptions.ECMAScript"	"""02468"""
"@""[\d-[13579abcd]]+"""	"""abcd\x066102468\x0660"""	"RegexOptions.ECMAScript"	"""02468"""
"@""[\d-[13579\s]]+"""	""" \t\x066102468\x0660"""	"RegexOptions.None"	"""\x066102468\x0660"""
"@""[\w-[b-y\p{Po}]]+"""	"""!#bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\w-[b-y!.,]]+"""	"""!.,bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"""[\\w-[b-y\x00-\x0F]]+"""	"""\0bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""aaaABCD09zzz"""
"@""[\p{Ll}-[ae-z0-9]]+"""	"""09aaabbbcccdddeee"""	"RegexOptions.None"	"""bbbcccddd"""
"@""[\p{Nd}-[2468az]]+"""	"""az20135798"""	"RegexOptions.None"	"""013579"""
"@""[\P{Lu}-[ae-zA-Z]]+"""	"""AZaaabbbcccdddeee"""	"RegexOptions.None"	"""bbbcccddd"""
"@""[\P{Nd}-[\p{Ll}0123456789]]+"""	"""09az09AZ'[]"""	"RegexOptions.None"	"""AZ'[]"""
"""[abc-[defg]]+"""	"""dddaabbccddd"""	"RegexOptions.None"	"""aabbcc"""
"@""[\d-[abc]]+"""	"""abc09abc"""	"RegexOptions.None"	"""09"""
"@""[\d-[a-zA-Z]]+"""	"""az09AZ"""	"RegexOptions.None"	"""09"""
"@""[\d-[\p{Ll}]]+"""	"""az09az"""	"RegexOptions.None"	"""09"""
"@""[\w-[\x00-\x0F]]+"""	"""bbbaaaABYZ09zzzyyy"""	"RegexOptions.None"	"""bbbaaaABYZ09zzzyyy"""
"@""[\w-[\s]]+"""	"""0AZaz9"""	"RegexOptions.None"	"""0AZaz9"""
"@""[\w-[\W]]+"""	"""0AZaz9"""	"RegexOptions.None"	"""0AZaz9"""
"@""[\w-[\p{Po}]]+"""	"""#a09AZz!"""	"RegexOptions.None"	"""a09AZz"""
"@""[\d-[\D]]+"""	"""azAZ1024689"""	"RegexOptions.ECMAScript"	"""1024689"""
"@""[\d-[a-zA-Z]]+"""	"""azAZ\x066102468\x0660"""	"RegexOptions.ECMAScript"	"""02468"""
"@""[\d-[\p{Ll}]]+"""	"""\x066102468\x0660"""	"RegexOptions.None"	"""\x066102468\x0660"""
"@""[a-zA-Z0-9-[\s]]+"""	""" \tazAZ09"""	"RegexOptions.None"	"""azAZ09"""
"@""[a-zA-Z0-9-[\W]]+"""	"""bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""bbbaaaABCD09zzzyyy"""
"@""[a-zA-Z0-9-[^a-zA-Z0-9]]+"""	"""bbbaaaABCD09zzzyyy"""	"RegexOptions.None"	"""bbbaaaABCD09zzzyyy"""
"@""[\p{Ll}-[A-Z]]+"""	"""AZaz09"""	"RegexOptions.None"	"""az"""
"@""[\p{Nd}-[a-z]]+"""	"""az09"""	"RegexOptions.None"	"""09"""
"@""[\P{Lu}-[\p{Lu}]]+"""	"""AZazAZ"""	"RegexOptions.None"	"""az"""
"@""[\P{Lu}-[A-Z]]+"""	"""AZazAZ"""	"RegexOptions.None"	"""az"""
"@""[\P{Nd}-[\p{Nd}]]+"""	"""azAZ09"""	"RegexOptions.None"	"""azAZ"""
"@""[\P{Nd}-[2-8]]+"""	"""1234567890azAZ1234567890"""	"RegexOptions.None"	"""azAZ"""
"@""([ ]|[\w-[0-9]])+"""	"""09az AZ90"""	"RegexOptions.None"	"""az AZ"", ""Z"""
"@""([0-9-[02468]]|[0-9-[13579]])+"""	"""az1234567890za"""	"RegexOptions.None"	"""1234567890"", ""0"""
"@""([^0-9-[a-zAE-Z]]|[\w-[a-zAF-Z]])+"""	"""azBCDE1234567890BCDEFza"""	"RegexOptions.None"	"""BCDE1234567890BCDE"", ""E"""
"@""([\p{Ll}-[aeiou]]|[^\w-[\s]])+"""	"""aeiobcdxyz!@#aeio"""	"RegexOptions.None"	"""bcdxyz!@#"", ""#"""
"@""98[\d-[9]][\d-[8]][\d-[0]]"""	"""98911 98881 98870 98871"""	"RegexOptions.None"	"""98871"""
"@""m[\w-[^aeiou]][\w-[^aeiou]]t"""	"""mbbt mect meet"""	"RegexOptions.None"	"""meet"""
"""[abcdef-[^bce]]+"""	"""adfbcefda"""	"RegexOptions.None"	"""bce"""
"""[^cde-[ag]]+"""	"""agbfxyzga"""	"RegexOptions.None"	"""bfxyz"""
"@""[\p{L}-[^\p{Lu}]]+"""	"""09',.abcxyzABCXYZ"""	"RegexOptions.None"	"""ABCXYZ"""
"@""[\p{IsGreek}-[\P{Lu}]]+"""	"""\u0390\u03FE\u0386\u0388\u03EC\u03EE\u0400"""	"RegexOptions.None"	"""\u03FE\u0386\u0388\u03EC\u03EE"""
"@""[\p{IsBasicLatin}-[G-L]]+"""	"""GAFMZL"""	"RegexOptions.None"	"""AFMZ"""
"""[a-zA-Z-[aeiouAEIOU]]+"""	"""aeiouAEIOUbcdfghjklmnpqrstvwxyz"""	"RegexOptions.None"	"""bcdfghjklmnpqrstvwxyz"""
