"""a"""	"""a"""
"""a"""	"""zyzzyva"""
"""a+"""	"""aa"""
"""(a+|b)+"""	"""ab"""
"""ab|cd"""	"""xabcdx"""
"""h.*od?"""	"""hello\ngoodbye\n"""
"""h.*o"""	"""hello\ngoodbye\n"""
"""h.*o"""	"""goodbye\nhello\n"""
"""h.*o"""	"""hello world"""
"""h.*o"""	"""othello, world"""
"""[^\\s\\S]"""	"""aaaaaaa"""
"""a"""	"""aaaaaaa"""
"""a*"""	"""aaaaaaa"""
"""a*"""	""""""
"""ab|cd"""	"""xabcdx"""
"""a"""	"""cab"""
"""a*b"""	"""cab"""
"""((((((((((((((((((((x))))))))))))))))))))"""	"""x"""
"""[abcd]"""	"""xxxabcdxxx"""
"""[^x]"""	"""xxxabcdxxx"""
"""[abcd]+"""	"""xxxabcdxxx"""
"""[^x]+"""	"""xxxabcdxxx"""
"""(fo|foo)"""	"""fo"""
"""(foo|fo)"""	"""foo"""
"""aa"""	"""aA"""
"""a"""	"""Aa"""
"""a"""	"""A"""
"""ABC"""	"""abc"""
"""abc"""	"""XABCY"""
"""ABC"""	"""xabcy"""
"""foo|bar|[A-Z]"""	"""foo"""
"""^(foo|bar|[A-Z])"""	"""foo"""
"""(foo|bar|[A-Z])$"""	"""foo\n"""
"""(foo|bar|[A-Z])$"""	"""foo"""
"""^(foo|bar|[A-Z])$"""	"""foo\n"""
"""^(foo|bar|[A-Z])$"""	"""foo"""
"""^(foo|bar|[A-Z])$"""	"""bar"""
"""^(foo|bar|[A-Z])$"""	"""X"""
"""^(foo|bar|[A-Z])$"""	"""XY"""
"""^(fo|foo)$"""	"""fo"""
"""^(fo|foo)$"""	"""foo"""
"""^^(fo|foo)$"""	"""fo"""
"""^^(fo|foo)$"""	"""foo"""
"""^$"""	""""""
"""^$"""	"""x"""
"""^^$"""	""""""
"""^$$"""	""""""
"""^^$"""	"""x"""
"""^$$"""	"""x"""
"""^^$$"""	""""""
"""^^$$"""	"""x"""
"""^^^^^^^^$$$$$$$$"""	""""""
"""^"""	"""x"""
"""$"""	"""x"""
"""\\bfoo\\b"""	"""nofoo foo that"""
"""a\\b"""	"""faoa x"""
"""\\bbar"""	"""bar x"""
"""\\bbar"""	"""foo\nbar x"""
"""bar\\b"""	"""foobar"""
"""bar\\b"""	"""foobar\nxxx"""
"""(foo|bar|[A-Z])\\b"""	"""foo"""
"""(foo|bar|[A-Z])\\b"""	"""foo\n"""
"""\\b"""	""""""
"""\\b"""	"""x"""
"""\\b(foo|bar|[A-Z])"""	"""foo"""
"""\\b(foo|bar|[A-Z])\\b"""	"""X"""
"""\\b(foo|bar|[A-Z])\\b"""	"""XY"""
"""\\b(foo|bar|[A-Z])\\b"""	"""bar"""
"""\\b(foo|bar|[A-Z])\\b"""	"""foo"""
"""\\b(foo|bar|[A-Z])\\b"""	"""foo\n"""
"""\\b(foo|bar|[A-Z])\\b"""	"""ffoo bbar N x"""
"""\\b(fo|foo)\\b"""	"""fo"""
"""\\b(fo|foo)\\b"""	"""foo"""
"""\\b\\b"""	""""""
"""\\b\\b"""	"""x"""
"""\\b$"""	""""""
"""\\b$"""	"""x"""
"""\\b$"""	"""y x"""
"""\\b.$"""	"""x"""
"""^\\b(fo|foo)\\b"""	"""fo"""
"""^\\b(fo|foo)\\b"""	"""foo"""
"""^\\b"""	""""""
"""^\\b"""	"""x"""
"""^\\b\\b"""	""""""
"""^\\b\\b"""	"""x"""
"""^\\b$"""	""""""
"""^\\b$"""	"""x"""
"""^\\b.$"""	"""x"""
"""^\\b.\\b$"""	"""x"""
"""^^^^^^^^\\b$$$$$$$"""	""""""
"""^^^^^^^^\\b.$$$$$$"""	"""x"""
"""^^^^^^^^\\b$$$$$$$"""	"""x"""
