"@""abc""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""abc""";"RegexOptions.None";"""xbc""";"""Fail."""
"@""abc""";"RegexOptions.None";"""axc""";"""Fail."""
"@""abc""";"RegexOptions.None";"""abx""";"""Fail."""
"@""abc""";"RegexOptions.None";"""xabcy""";"""Pass. Group[0]=(1,3)"""
"@""abc""";"RegexOptions.None";"""ababc""";"""Pass. Group[0]=(2,3)"""
"@""ab*c""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""ab*bc""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""ab*bc""";"RegexOptions.None";"""abbc""";"""Pass. Group[0]=(0,4)"""
"@""ab*bc""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,6)"""
"@"".{1}""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,1)"""
"@"".{3,4}""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,4)"""
"@""ab{0,}bc""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,6)"""
"@""ab+bc""";"RegexOptions.None";"""abbc""";"""Pass. Group[0]=(0,4)"""
"@""ab+bc""";"RegexOptions.None";"""abc""";"""Fail."""
"@""ab+bc""";"RegexOptions.None";"""abq""";"""Fail."""
"@""ab{1,}bc""";"RegexOptions.None";"""abq""";"""Fail."""
"@""ab+bc""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,6)"""
"@""ab{1,}bc""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,6)"""
"@""ab{1,3}bc""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,6)"""
"@""ab{3,4}bc""";"RegexOptions.None";"""abbbbc""";"""Pass. Group[0]=(0,6)"""
"@""ab{4,5}bc""";"RegexOptions.None";"""abbbbc""";"""Fail."""
"@""ab?bc""";"RegexOptions.None";"""abbc""";"""Pass. Group[0]=(0,4)"""
"@""ab?bc""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""ab{0,1}bc""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""ab?bc""";"RegexOptions.None";"""abbbbc""";"""Fail."""
"@""ab?c""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""ab{0,1}c""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""^abc$""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""^abc$""";"RegexOptions.None";"""abcc""";"""Fail."""
"@""^abc""";"RegexOptions.None";"""abcc""";"""Pass. Group[0]=(0,3)"""
"@""^abc$""";"RegexOptions.None";"""aabc""";"""Fail."""
"@""abc$""";"RegexOptions.None";"""aabc""";"""Pass. Group[0]=(1,3)"""
"@""abc$""";"RegexOptions.None";"""aabcd""";"""Fail."""
"@""^""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,0)"""
"@""$""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(3,0)"""
"@""a.c""";"RegexOptions.None";"""abc""";"""Pass. Group[0]=(0,3)"""
"@""a.c""";"RegexOptions.None";"""axc""";"""Pass. Group[0]=(0,3)"""
"@""a.*c""";"RegexOptions.None";"""axyzc""";"""Pass. Group[0]=(0,5)"""
"@""a.*c""";"RegexOptions.None";"""axyzd""";"""Fail."""
"@""a[bc]d""";"RegexOptions.None";"""abc""";"""Fail."""
"@""a[bc]d""";"RegexOptions.None";"""abd""";"""Pass. Group[0]=(0,3)"""
"@""a[b-d]e""";"RegexOptions.None";"""abd""";"""Fail."""
"@""a[b-d]e""";"RegexOptions.None";"""ace""";"""Pass. Group[0]=(0,3)"""
"@""a[b-d]""";"RegexOptions.None";"""aac""";"""Pass. Group[0]=(1,2)"""
"@""a[-b]""";"RegexOptions.None";"""a-""";"""Pass. Group[0]=(0,2)"""
"@""a[b-]""";"RegexOptions.None";"""a-""";"""Pass. Group[0]=(0,2)"""
"@""a[b-a]""";"RegexOptions.None";"""-""";"""Error."""
"@""a[]b""";"RegexOptions.None";"""-""";"""Error."""
"@""a[""";"RegexOptions.None";"""-""";"""Error."""
"@""a]""";"RegexOptions.None";"""a]""";"""Pass. Group[0]=(0,2)"""
"@""a[]]b""";"RegexOptions.None";"""a]b""";"""Pass. Group[0]=(0,3)"""
"@""a[^bc]d""";"RegexOptions.None";"""aed""";"""Pass. Group[0]=(0,3)"""
"@""a[^bc]d""";"RegexOptions.None";"""abd""";"""Fail."""
"@""a[^-b]c""";"RegexOptions.None";"""adc""";"""Pass. Group[0]=(0,3)"""
"@""a[^-b]c""";"RegexOptions.None";"""a-c""";"""Fail."""
"@""a[^]b]c""";"RegexOptions.None";"""a]c""";"""Fail."""
"@""a[^]b]c""";"RegexOptions.None";"""adc""";"""Pass. Group[0]=(0,3)"""
"@""\ba\b""";"RegexOptions.None";"""a-""";"""Pass. Group[0]=(0,1)"""
"@""\ba\b""";"RegexOptions.None";"""-a""";"""Pass. Group[0]=(1,1)"""
"@""\ba\b""";"RegexOptions.None";"""-a-""";"""Pass. Group[0]=(1,1)"""
"@""\by\b""";"RegexOptions.None";"""xy""";"""Fail."""
"@""\by\b""";"RegexOptions.None";"""yz""";"""Fail."""
"@""\by\b""";"RegexOptions.None";"""xyz""";"""Fail."""
"@""\Ba\B""";"RegexOptions.None";"""a-""";"""Fail."""
"@""\Ba\B""";"RegexOptions.None";"""-a""";"""Fail."""
"@""\Ba\B""";"RegexOptions.None";"""-a-""";"""Fail."""
"@""\By\b""";"RegexOptions.None";"""xy""";"""Pass. Group[0]=(1,1)"""
"@""\by\B""";"RegexOptions.None";"""yz""";"""Pass. Group[0]=(0,1)"""
"@""\By\B""";"RegexOptions.None";"""xyz""";"""Pass. Group[0]=(1,1)"""
"@""\w""";"RegexOptions.None";"""a""";"""Pass. Group[0]=(0,1)"""
"@""\w""";"RegexOptions.None";"""-""";"""Fail."""
"@""\W""";"RegexOptions.None";"""a""";"""Fail."""
"@""\W""";"RegexOptions.None";"""-""";"""Pass. Group[0]=(0,1)"""
"@""a\sb""";"RegexOptions.None";"""a b""";"""Pass. Group[0]=(0,3)"""
"@""a\sb""";"RegexOptions.None";"""a-b""";"""Fail."""
"@""a\Sb""";"RegexOptions.None";"""a b""";"""Fail."""
"@""a\Sb""";"RegexOptions.None";"""a-b""";"""Pass. Group[0]=(0,3)"""
"@""\d""";"RegexOptions.None";"""1""";"""Pass. Group[0]=(0,1)"""
"@""\d""";"RegexOptions.None";"""-""";"""Fail."""
