"'abc'"	"'abc'"	"''"
"'abc'"	"'abc'"	"'b'"
"'abc'"	"'def'"	"''"
"'abc'"	"'def'"	"'b'"
"'abc'"	"'xyabxabce'"	"''"
"'abc'"	"'xyabxabce'"	"'b'"
"'a'"	"''"	"'qe'"
"'a'"	"''"	"'qa'"
"'a'"	"''"	"'qx'"
"'a'"	"''"	"'qn'"
"'a'"	"''"	"'ba'"
"''"	"'a'"	"'0NS'"
"''"	"'a'"	"'0NSb'"
"'a|'"	"'a'"	"'NS'"
"'a|b'"	"'a'"	"'-'"
"'a|b'"	"'b'"	"'-'"
"'a||b'"	"'b'"	"'NS'"
"'ab'"	"'ab'"	"''"
"'ab'"	"'ab'"	"'b'"
"'(a)e'"	"'ae'"	"'-'"
"'(a)e'"	"'ae'"	"'o'"
"'\(a\)b'"	"'ab'"	"'b'"
"'a((b)c)'"	"'abc'"	"'-'"
"'a(b)(c)'"	"'abc'"	"'-'"
"'a(b'"	"''"	"'-'"
"'a\(b'"	"''"	"'b'"
"'a)b'"	"'a)b'"	"'eU'"
"'a)b'"	"''"	"'-'"
"'a\)b'"	"''"	"'b'"
"'a(?:b)c'"	"'abc'"	"'P'"
"'a(?:b)c'"	"''"	"'e'"
"'a()b'"	"'ab'"	"'0S'"
"'a(?:)b'"	"'ab'"	"'SP'"
"'a(|b)c'"	"'ac'"	"'0S'"
"'a(b|)c'"	"'abc'"	"'S'"
"'a.b'"	"'axb'"	"''"
"'a.b'"	"'axb'"	"'b'"
"'a.b'"	"E'a\nb'"	"'n'"
"'a.b'"	"E'a\nb'"	"'nb'"
"'a[bc]d'"	"'abd'"	"''"
"'a[bc]d'"	"'abd'"	"'b'"
"'a[bc]d'"	"'acd'"	"''"
"'a[bc]d'"	"'acd'"	"'b'"
"'a[bc]d'"	"'aed'"	"''"
"'a[bc]d'"	"'aed'"	"'b'"
"'a[^bc]d'"	"'abd'"	"''"
"'a[^bc]d'"	"'abd'"	"'b'"
"'a[^bc]d'"	"'aed'"	"''"
"'a[^bc]d'"	"'aed'"	"'b'"
"'a[^bc]d'"	"E'a\nd'"	"'p'"
"'a[^bc]d'"	"E'a\nd'"	"'pb'"
"'*'"	"''"	"'-'"
"'*'"	"'*'"	"'b'"
"'\(*\)'"	"'*'"	"'b'"
"'(*)'"	"''"	"'-'"
"'^*'"	"'*'"	"'b'"
"'^*'"	"''"	"'-'"
"'^b'"	"'^b'"	"''"
"'^b'"	"'^b'"	"'b'"
"'x^'"	"'x^'"	"'b'"
"'x^'"	"'x'"	"'I'"
"E'\n^'"	"E'x\nb'"	"'n'"
"'\(^b\)'"	"'^b'"	"'bS'"
"'(^b)'"	"'b'"	"'-'"
"'x$'"	"'x'"	"''"
"'x$'"	"'x'"	"'b'"
"'\(x$\)'"	"'x'"	"'bS'"
"'(x$)'"	"'x'"	"'-'"
"'x$y'"	"'x$y'"	"'b'"
"'x$y'"	"'xy'"	"'I'"
"E'x$\n'"	"E'x\n'"	"'n'"
"'+'"	"''"	"'-'"
"'?'"	"''"	"'-'"
"'x(\w)(?=(\1))'"	"''"	"'-'"
"'x(?=((foo)))'"	"'xfoo'"	"'HP'"
"'a*'"	"'aa'"	"'N'"
"'a*'"	"'aa'"	"'Nb'"
"'a*'"	"'b'"	"'0N'"
"'a*'"	"'b'"	"'0Nb'"
"'a+'"	"'aa'"	"'-'"
"'a?b'"	"'ab'"	"'-'"
"'a?b'"	"'b'"	"'-'"
"'**'"	"''"	"'-'"
"'**'"	"'***'"	"'bN'"
"'a**'"	"''"	"''"
"'a**'"	"''"	"'b'"
"'a**b'"	"''"	"''"
"'a**b'"	"''"	"'b'"
"'***'"	"''"	"''"
"'***'"	"''"	"'b'"
"'a++'"	"''"	"'-'"
"'a?+'"	"''"	"'-'"
"'a?*'"	"''"	"'-'"
"'a+*'"	"''"	"'-'"
"'a*+'"	"''"	"'-'"
"'.*b'"	"'aaabbb'"	"'b'"
"'.\{1,10\}'"	"'abcdef'"	"'bQ'"
"'a{0,1}'"	"''"	"'NQ'"
"'a{0,1}'"	"'ac'"	"'NQ'"
"'a{1,0}'"	"''"	"'-'"
"'a{1,2,3}'"	"''"	"'-'"
"'a{257}'"	"''"	"'-'"
"'a{1000}'"	"''"	"'-'"
"'a{1'"	"''"	"'-'"
"'a{1n}'"	"''"	"'-'"
"'a{b'"	"'a{b'"	"'BS'"
"'a{'"	"'a{'"	"'BS'"
"'a\{0,1\}b'"	"'cb'"	"'bQ'"
"'a\{0,1'"	"''"	"'b'"
"'a{0,1\'"	"''"	"'-'"
"'a{0}b'"	"'ab'"	"'Q'"
