"""""";"RegexOptions.None";"null"
""" """;"RegexOptions.IgnorePatternWhitespace";"null"
"""  """;"RegexOptions.IgnorePatternWhitespace";"null"
"""(?#)""";"RegexOptions.None";"null"
"""(?# )""";"RegexOptions.None";"null"
"""(?#""";"RegexOptions.None";"RegexParseError.UnterminatedComment"
"""(?# """;"RegexOptions.None";"RegexParseError.UnterminatedComment"
"""(?#)(?#)""";"RegexOptions.None";"null"
"""(?#)(?#)""";"RegexOptions.IgnorePatternWhitespace";"null"
"""(?#) (?#)""";"RegexOptions.None";"null"
"""(?#) (?#)""";"RegexOptions.IgnorePatternWhitespace";"null"
"@""[a\p{Lu}(?#)b]""";"RegexOptions.None";"null"
"@""[a\0(?#)b]""";"RegexOptions.None";"null"
"@""[a\a(?#)b]""";"RegexOptions.None";"null"
"@""[a\x00(?#)b]""";"RegexOptions.None";"null"
"@""[a\u0000(?#)b]""";"RegexOptions.None";"null"
"@""[a\](?#)b]""";"RegexOptions.None";"null"
"""(?""";"RegexOptions.None";"RegexParseError.UnrecognizedGrouping"
"""(?""";"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
"""(? """;"RegexOptions.None";"RegexParseError.UnrecognizedGrouping"
"""(? """;"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
"""(?i)""";"RegexOptions.None";"null"
"""(?im)""";"RegexOptions.None";"null"
"""(?im-x)""";"RegexOptions.None";"null"
"""(?im-x+n)""";"RegexOptions.None";"null"
"""(?i) """;"RegexOptions.None";"null"
"""(?x) """;"RegexOptions.None";"null"
""" (?x) """;"RegexOptions.None";"null"
""" (?-x) """;"RegexOptions.IgnorePatternWhitespace";"null"
""" ( (?-x) ) """;"RegexOptions.IgnorePatternWhitespace";"null"
""" (?-x:) """;"RegexOptions.IgnorePatternWhitespace";"null"
""" (?-x: ) """;"RegexOptions.IgnorePatternWhitespace";"null"
""" (?-x: (?+x: ) ) """;"RegexOptions.IgnorePatternWhitespace";"null"
"""(?-x""";"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
"""(?-x """;"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
"""(?-x :""";"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
"""(?-x )""";"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
"""(?-x :)""";"RegexOptions.IgnorePatternWhitespace";"RegexParseError.UnrecognizedGrouping"
""")""";"RegexOptions.None";"RegexParseError.TooManyParentheses"
"""a""";"RegexOptions.None";"null"
"""ab""";"RegexOptions.None";"null"
"""a*""";"RegexOptions.None";"null"
"""a*?""";"RegexOptions.None";"null"
"""a+""";"RegexOptions.None";"null"
"""a+?""";"RegexOptions.None";"null"
"""a?""";"RegexOptions.None";"null"
"""a??""";"RegexOptions.None";"null"
"""()""";"RegexOptions.None";"null"
"""(a)""";"RegexOptions.None";"null"
"""(""";"RegexOptions.None";"RegexParseError.NotEnoughParentheses"
"""(a""";"RegexOptions.None";"RegexParseError.NotEnoughParentheses"
"""|""";"RegexOptions.None";"null"
""" |""";"RegexOptions.None";"null"
"""| """;"RegexOptions.None";"null"
""" | """;"RegexOptions.None";"null"
"""|""";"RegexOptions.IgnorePatternWhitespace";"null"
""" |""";"RegexOptions.IgnorePatternWhitespace";"null"
"""| """;"RegexOptions.IgnorePatternWhitespace";"null"
""" | """;"RegexOptions.IgnorePatternWhitespace";"null"
"""||""";"RegexOptions.None";"null"
"""(|)""";"RegexOptions.None";"null"
"""a{0}""";"RegexOptions.None";"null"
"""a{0,}""";"RegexOptions.None";"null"
"""a{0,1}""";"RegexOptions.None";"null"
"""a{1,0}""";"RegexOptions.None";"RegexParseError.IllegalRange"
"""a{0}?""";"RegexOptions.None";"null"
"""a{0,}?""";"RegexOptions.None";"null"
"""a{0,1}?""";"RegexOptions.None";"null"
"""a{""";"RegexOptions.None";"null"
"""a{0""";"RegexOptions.None";"null"
"""a{0,""";"RegexOptions.None";"null"
"""a{0,1""";"RegexOptions.None";"null"
"""a{0 }""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a{0, }""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a{0 ,}""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a{0 ,1}""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a{0, 1}""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a{0,1 }""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a* ?""";"RegexOptions.IgnorePatternWhitespace";"null"
"""a* ?""";"RegexOptions.None";"null"
"""*""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""(*)""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""a**""";"RegexOptions.None";"RegexParseError.NestedQuantify"
"""+""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""(+)""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""a*+""";"RegexOptions.None";"RegexParseError.NestedQuantify"
"""?""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""(?)""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""a*??""";"RegexOptions.None";"RegexParseError.NestedQuantify"
"""{0}""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""({0})""";"RegexOptions.None";"RegexParseError.QuantifyAfterNothing"
"""a*{0}""";"RegexOptions.None";"RegexParseError.NestedQuantify"
"""{0""";"RegexOptions.None";"null"
"""({0)""";"RegexOptions.None";"null"
"""a*{0""";"RegexOptions.None";"null"
"@""\w""";"RegexOptions.None";"null"
"@""\b\B\A\G\Z\z\w\W\s\W\s\S\d\D""";"RegexOptions.None";"null"
"@""\c""";"RegexOptions.None";"RegexParseError.MissingControl"
"@""\c<""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\ca""";"RegexOptions.None";"null"
"@""\cA""";"RegexOptions.None";"null"
"@""\c A""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\c(a)""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\c>""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\c?""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\c@""";"RegexOptions.None";"null"
"@""\c^""";"RegexOptions.None";"null"
"@""\c_""";"RegexOptions.None";"null"
"@""\c`""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\c{""";"RegexOptions.None";"RegexParseError.UnrecognizedControl"
"@""\cz""";"RegexOptions.None";"null"
"@""\cZ""";"RegexOptions.None";"null"
"@""\m""";"RegexOptions.None";"RegexParseError.UnrecognizedEscape"
"@""\x""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\x """;"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\x0""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\x0 """;"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\x00""";"RegexOptions.None";"null"
"@""\x00 """;"RegexOptions.None";"null"
"@""\x000""";"RegexOptions.None";"null"
"@""\xff""";"RegexOptions.None";"null"
"@""\xFF""";"RegexOptions.None";"null"
"@""\xfF""";"RegexOptions.None";"null"
"@""\xfff""";"RegexOptions.None";"null"
"@""\xgg""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\m """;"RegexOptions.None";"RegexParseError.UnrecognizedEscape"
"@""\u""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\u0""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\u00""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\u000""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\u0000""";"RegexOptions.None";"null"
"@""\u0000 """;"RegexOptions.None";"null"
"@""\u """;"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\u0 """;"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\ugggg""";"RegexOptions.None";"RegexParseError.TooFewHex"
"@""\0""";"RegexOptions.None";"null"
"@""\0 """;"RegexOptions.None";"null"
"@""\00""";"RegexOptions.None";"null"
"@""\00 """;"RegexOptions.None";"null"
"@""\000""";"RegexOptions.None";"null"
"@""\000 """;"RegexOptions.None";"null"
"@""\0000""";"RegexOptions.None";"null"
"@""\0000 """;"RegexOptions.None";"null"
"@""\7""";"RegexOptions.None";"RegexParseError.UndefinedBackref"
"@""\78""";"RegexOptions.None";"null"
"@""\8""";"RegexOptions.None";"RegexParseError.UndefinedBackref"
"@""\40""";"RegexOptions.ECMAScript";"null"
"@""\401""";"RegexOptions.ECMAScript";"null"
"@""\37""";"RegexOptions.ECMAScript";"null"
"@""\371""";"RegexOptions.ECMAScript";"null"
"@""\0000""";"RegexOptions.ECMAScript";"null"
"@""\k""";"RegexOptions.None";"RegexParseError.MalformedNameRef"
"@""\k """;"RegexOptions.None";"RegexParseError.MalformedNameRef"
"@""\k<""";"RegexOptions.None";"RegexParseError.MalformedNameRef"
"@""\k< """;"RegexOptions.None";"RegexParseError.UnrecognizedEscape"
"@""\k<0""";"RegexOptions.None";"RegexParseError.UnrecognizedEscape"
"@""\k<0 """;"RegexOptions.None";"RegexParseError.UnrecognizedEscape"
"@""\k<0>""";"RegexOptions.None";"null"
"@""\k<0> """;"RegexOptions.None";"null"
"@""\k<00> """;"RegexOptions.None";"null"
"@""\k<a> """;"RegexOptions.None";"RegexParseError.UndefinedNameRef"
"@""(?<a>)\k<a> """;"RegexOptions.None";"null"
"@""\k""";"RegexOptions.ECMAScript";"RegexParseError.MalformedNameRef"
"@""\k """;"RegexOptions.ECMAScript";"RegexParseError.MalformedNameRef"
